seed_id,policy,bound_k,fault_mode,runs_n,mismatch_rate,timeout_rate,crash_rate,RD_mean,RD_std,FE_mean,FE_std,pending_peak_mean,pending_peak_std,pending_peak_median,pending_area_mean,pending_area_std,pending_area_median,SSI_area,SSI,RCS_mean,RCS_std
seed_001_long32,RANDOM,0,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.960000,0.195959,4.000000,38.680000,9.570664,39.000000,0.247432,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,1,NONE,100,0.000000,0.000000,0.000000,0.022843,0.006831,0.997345,0.002707,3.990000,0.099499,4.000000,68.520000,14.007484,67.000000,0.204429,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,1,RESET,100,0.000000,0.000000,0.000000,0.044333,0.017356,0.990055,0.010566,3.960000,0.195959,4.000000,38.990000,10.421607,39.000000,0.267289,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,1,TIMEOUT,100,0.000000,1.000000,0.000000,0.039062,0.014776,0.992279,0.009535,3.960000,0.195959,4.000000,40.080000,10.735623,41.000000,0.267855,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,2,NONE,100,0.000000,0.000000,0.000000,0.037036,0.011140,0.994093,0.004061,3.990000,0.099499,4.000000,69.100000,14.236221,69.000000,0.206023,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,2,RESET,100,0.000000,0.000000,0.000000,0.069500,0.030556,0.981807,0.013669,3.960000,0.195959,4.000000,39.280000,10.430801,39.000000,0.265550,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,2,TIMEOUT,100,0.000000,1.000000,0.000000,0.062414,0.024404,0.984259,0.013129,3.960000,0.195959,4.000000,40.340000,10.769605,40.000000,0.266971,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,3,NONE,100,0.000000,0.000000,0.000000,0.043992,0.015010,0.991541,0.006885,3.990000,0.099499,4.000000,69.480000,15.439223,68.000000,0.222211,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,3,RESET,100,0.000000,0.000000,0.000000,0.081917,0.037045,0.973962,0.024552,3.960000,0.195959,4.000000,39.160000,11.063200,39.000000,0.282513,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,3,TIMEOUT,100,0.000000,1.000000,0.000000,0.075423,0.030408,0.977176,0.022636,3.960000,0.195959,4.000000,40.360000,11.501756,40.000000,0.284979,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,5,NONE,100,0.000000,0.000000,0.000000,0.043992,0.015010,0.991541,0.006885,3.990000,0.099499,4.000000,69.480000,15.439223,68.000000,0.222211,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,5,RESET,100,0.000000,0.000000,0.000000,0.081917,0.037045,0.973962,0.024552,3.960000,0.195959,4.000000,39.160000,11.063200,39.000000,0.282513,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,5,TIMEOUT,100,0.000000,1.000000,0.000000,0.075423,0.030408,0.977176,0.022636,3.960000,0.195959,4.000000,40.360000,11.501756,40.000000,0.284979,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,10,NONE,100,0.000000,0.000000,0.000000,0.043992,0.015010,0.991541,0.006885,3.990000,0.099499,4.000000,69.480000,15.439223,68.000000,0.222211,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,10,RESET,100,0.000000,0.000000,0.000000,0.081917,0.037045,0.973962,0.024552,3.960000,0.195959,4.000000,39.160000,11.063200,39.000000,0.282513,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,10,TIMEOUT,100,0.000000,1.000000,0.000000,0.075423,0.030408,0.977176,0.022636,3.960000,0.195959,4.000000,40.360000,11.501756,40.000000,0.284979,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,inf,NONE,100,0.000000,0.000000,0.000000,0.043992,0.015010,0.991541,0.006885,3.990000,0.099499,4.000000,69.480000,15.439223,68.000000,0.222211,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,inf,RESET,100,0.000000,0.000000,0.000000,0.081917,0.037045,0.973962,0.024552,3.960000,0.195959,4.000000,39.160000,11.063200,39.000000,0.282513,0.049485,1.000000,0.000000
seed_001_long32,RANDOM,inf,TIMEOUT,100,0.000000,1.000000,0.000000,0.075423,0.030408,0.977176,0.022636,3.960000,0.195959,4.000000,40.360000,11.501756,40.000000,0.284979,0.049485,1.000000,0.000000
